pickup_hour,total_revenue,num_trips,avg_revenue,avg_tip
0,88.38,2,44.19,8.108108108108109
1,63.92,3,21.30666666666667,0.0
2,37.2,1,37.2,16.666666666666664
3,6.3,1,6.3,0.0
4,23.63,2,11.815,0.0
5,23.810000000000002,2,11.905000000000001,0.0
6,171.41,9,19.045555555555556,0.0
7,137.19,9,15.243333333333332,0.0
8,29.4,2,14.7,0.0
9,126.17999999999999,8,15.772499999999999,1.1409531502423262
10,132.19,5,26.438,3.3333333333333335
11,139.13,5,27.826,6.677697351123564
12,149.05,5,29.810000000000002,1.3986013986013988
13,110.47,6,18.411666666666665,0.0
14,125.72,11,11.42909090909091,1.1875150445318141
15,142.82999999999998,5,28.565999999999995,3.985385318013557
16,147.28,4,36.82,0.26666666666666666
17,116.03999999999999,6,19.34,0.0
18,353.01,10,35.301,6.198496883980754
19,10.7,1,10.7,28.037383177570096
20,88.84,3,29.613333333333333,5.555555555555556
21,18.65,1,18.65,8.042895442359251
22,143.19,5,28.637999999999998,3.979416809605489
23,297.63,5,59.525999999999996,9.993845132291346
