Borough,Zone,total_revenue,avg_revenue,num_trips
Bronx,Williamsbridge/Olinville,10.86,10.86,1
Brooklyn,Bay Ridge,16.0,16.0,1
Brooklyn,Brooklyn Heights,22.94,22.94,1
Brooklyn,Bushwick South,42.0,42.0,1
Brooklyn,Canarsie,18.0,18.0,1
Brooklyn,Clinton Hill,24.0,24.0,1
Brooklyn,Crown Heights South,7.71,7.71,1
Brooklyn,East Flatbush/Remsen Village,38.0,19.0,2
Brooklyn,East New York,19.0,19.0,1
Brooklyn,Flatbush/Ditmas Park,21.37,21.37,1
Brooklyn,Park Slope,72.83,36.415,2
Brooklyn,Stuyvesant Heights,21.0,21.0,1
Brooklyn,Williamsburg (South Side),18.54,18.54,1
Manhattan,Alphabet City,39.05,19.525,2
Manhattan,Central Harlem,12.86,12.86,1
Manhattan,Central Harlem North,50.92,16.973333333333333,3
Manhattan,Clinton East,59.980000000000004,19.993333333333336,3
Manhattan,Clinton West,29.55,14.775,2
Manhattan,East Chelsea,29.86,14.93,2
Manhattan,East Harlem North,19.23,9.615,2
Manhattan,East Harlem South,25.12,25.12,1
Manhattan,Financial District North,7.75,7.75,1
Manhattan,Financial District South,10.15,10.15,1
Manhattan,Garment District,7.0,7.0,1
Manhattan,Gramercy,17.0,17.0,1
Manhattan,Greenwich Village South,8.45,8.45,1
Manhattan,Hudson Sq,41.64,20.82,2
Manhattan,Lenox Hill East,76.46000000000001,25.486666666666668,3
Manhattan,Lenox Hill West,42.51,21.255,2
Manhattan,Lincoln Square East,57.61,14.4025,4
Manhattan,Lincoln Square West,20.11,20.11,1
Manhattan,Little Italy/NoLiTa,27.89,27.89,1
Manhattan,Lower East Side,38.5,19.25,2
Manhattan,Meatpacking/West Village West,9.55,9.55,1
Manhattan,Midtown Center,74.28999999999999,24.763333333333332,3
Manhattan,Midtown East,12.38,12.38,1
Manhattan,Murray Hill,16.25,16.25,1
Manhattan,Penn Station/Madison Sq West,79.5,39.75,2
Manhattan,Sutton Place/Turtle Bay North,12.43,12.43,1
Manhattan,Times Sq/Theatre District,87.26,21.815,4
Manhattan,TriBeCa/Civic Center,46.35,23.175,2
Manhattan,Two Bridges/Seward Park,42.97,14.323333333333332,3
Manhattan,Union Sq,15.85,15.85,1
Manhattan,Upper East Side North,37.24,12.413333333333334,3
Manhattan,Upper East Side South,25.619999999999997,12.809999999999999,2
Manhattan,Upper West Side North,60.62,20.206666666666667,3
Manhattan,Upper West Side South,28.3,14.15,2
Manhattan,Washington Heights South,25.0,25.0,1
Manhattan,West Chelsea/Hudson Yards,20.96,10.48,2
Manhattan,West Village,18.65,18.65,1
Manhattan,Yorkville West,34.36,11.453333333333333,3
Queens,Baisley Park,29.15,29.15,1
Queens,Fresh Meadows,41.56,41.56,1
Queens,JFK Airport,407.61,81.522,5
Queens,Jackson Heights,7.7,7.7,1
Queens,Jamaica Estates,9.08,9.08,1
Queens,LaGuardia Airport,91.02,45.51,2
Queens,Laurelton,10.89,10.89,1
Queens,Long Island City/Hunters Point,30.9,6.18,5
Queens,Long Island City/Queens Plaza,71.5,71.5,1
Queens,Maspeth,33.54,33.54,1
Queens,Richmond Hill,23.0,23.0,1
Queens,Woodside,10.7,10.7,1
