VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee,pickup_hour,pickup_date,weekday,is_weekend,trip_duration_min,trip_speed_mph,tip_pct,long_trip,high_tip,revenue_per_mile
1,2025-01-01 02:32:52,2025-01-01 02:33:53,3.0,6.1,5.0,N,48,48,1,30.0,0.0,0.0,6.2,0.0,1.0,37.2,0.0,0.0,0.0,2,2025-01-01,2,False,1.0166666666666666,80.0,16.666666666666664,False,False,6.0983606557377055
2,2025-01-01 10:52:25,2025-01-01 11:08:19,1.0,47.05,1.0,N,265,138,1,30.3,5.0,0.5,7.36,0.0,1.0,44.16,0.0,0.0,0.0,10,2025-01-01,2,False,15.9,80.0,16.666666666666668,True,False,0.9385759829968119
2,2025-01-02 18:50:41,2025-01-02 18:55:51,1.0,18.15,1.0,N,161,233,1,7.2,7.5,0.5,3.74,0.0,1.0,22.44,2.5,0.0,0.0,18,2025-01-02,3,False,5.166666666666667,80.0,16.666666666666664,True,False,1.2363636363636366
1,2025-01-03 12:27:01,2025-01-03 12:28:26,1.0,15.5,5.0,N,146,146,1,63.25,1.75,0.5,5.0,0.0,1.0,71.5,0.0,1.75,0.0,12,2025-01-03,4,False,1.4166666666666667,80.0,6.993006993006993,True,False,4.612903225806452
1,2025-01-03 12:40:59,2025-01-03 12:42:10,0.0,2.3,1.0,N,100,100,2,3.0,2.5,0.5,0.0,0.0,1.0,7.0,2.5,0.0,0.0,12,2025-01-03,4,False,1.1833333333333333,80.0,0.0,False,False,3.0434782608695654
1,2025-01-04 10:51:34,2025-01-04 11:05:44,1.0,33.1,99.0,N,50,90,1,19.5,0.0,0.5,0.0,0.0,0.0,20.0,0.0,0.0,0.0,10,2025-01-04,5,True,14.166666666666666,80.0,0.0,True,False,0.6042296072507553
2,2025-01-04 23:37:02,2025-01-04 23:39:02,6.0,4.7,1.0,N,141,263,1,22.6,1.0,0.5,4.4,0.0,1.0,32.0,2.5,0.0,0.0,23,2025-01-04,5,True,2.0,80.0,13.750000000000002,False,False,6.808510638297872
1,2025-01-05 14:51:11,2025-01-05 14:52:12,0.0,2.4,1.0,N,246,246,3,3.7,3.25,0.5,0.0,0.0,1.0,8.45,2.5,0.0,0.75,14,2025-01-05,6,True,1.0166666666666666,80.0,0.0,False,False,3.520833333333333
1,2025-01-05 16:21:46,2025-01-05 16:23:48,1.0,3.4,1.0,N,114,114,3,3.7,3.25,0.5,0.0,0.0,1.0,8.45,2.5,0.0,0.75,16,2025-01-05,6,True,2.033333333333333,80.0,0.0,False,False,2.485294117647059
1,2025-01-07 23:01:04,2025-01-07 23:02:11,1.0,4.8,5.0,N,265,265,1,170.0,0.0,0.0,34.2,0.0,1.0,205.2,0.0,0.0,0.0,23,2025-01-07,1,False,1.1166666666666667,80.0,16.666666666666668,False,False,42.75
1,2025-01-08 07:02:56,2025-01-08 07:18:06,1.0,31.0,99.0,N,225,217,1,20.5,0.0,0.5,0.0,0.0,0.0,21.0,0.0,0.0,0.0,7,2025-01-08,2,False,15.166666666666666,80.0,0.0,True,False,0.6774193548387096
1,2025-01-10 18:42:02,2025-01-10 18:44:29,1.0,11.8,1.0,N,138,138,1,3.0,10.75,0.5,4.45,6.94,1.0,26.64,2.5,0.0,0.75,18,2025-01-10,4,False,2.45,80.0,16.704204204204203,True,False,2.2576271186440677
2,2025-01-10 21:12:53,2025-01-10 21:22:27,1.0,20.41,1.0,N,249,231,1,11.4,1.0,0.5,1.5,0.0,1.0,18.65,2.5,0.0,0.75,21,2025-01-10,4,False,9.566666666666666,80.0,8.042895442359251,True,False,0.9137677609015188
1,2025-01-11 00:47:15,2025-01-11 00:48:31,1.0,3.2,99.0,N,49,91,1,23.5,0.0,0.5,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0,2025-01-11,5,True,1.2666666666666666,80.0,0.0,False,False,7.5
1,2025-01-11 14:28:56,2025-01-11 14:47:34,1.0,43.8,99.0,N,197,218,1,21.5,0.0,0.5,0.0,0.0,1.0,23.0,0.0,0.0,0.0,14,2025-01-11,5,True,18.633333333333333,80.0,0.0,True,False,0.5251141552511416
1,2025-01-11 22:04:26,2025-01-11 22:05:27,1.0,2.1,1.0,N,232,148,2,3.7,4.25,0.5,0.0,0.0,1.0,9.45,2.5,0.0,0.75,22,2025-01-11,5,True,1.0166666666666666,80.0,0.0,False,False,4.499999999999999
1,2025-01-12 01:41:32,2025-01-12 01:43:26,0.0,5.6,1.0,N,238,238,2,25.4,3.5,0.5,0.0,0.0,1.0,30.4,2.5,0.0,0.75,1,2025-01-12,6,True,1.9,80.0,0.0,False,False,5.428571428571429
2,2025-01-13 00:56:50,2025-01-13 01:10:24,1.0,27.28,1.0,N,138,170,1,34.5,6.0,0.5,10.44,6.94,1.0,64.38,2.5,1.75,0.75,0,2025-01-13,0,False,13.566666666666666,80.0,16.216216216216218,True,False,2.3599706744868034
1,2025-01-13 12:27:05,2025-01-13 12:36:23,1.0,16.6,99.0,N,72,177,1,18.5,0.0,0.5,0.0,0.0,0.0,19.0,0.0,0.0,0.0,12,2025-01-13,0,False,9.3,80.0,0.0,True,False,1.1445783132530118
1,2025-01-13 14:01:04,2025-01-13 14:05:27,1.0,17.1,1.0,N,145,145,2,5.1,0.0,0.5,0.0,0.0,1.0,6.6,0.0,0.0,0.0,14,2025-01-13,0,False,4.383333333333334,80.0,0.0,True,False,0.3859649122807017
1,2025-01-13 14:07:27,2025-01-13 14:10:34,1.0,17.1,1.0,N,145,145,3,4.4,0.0,0.5,0.0,0.0,1.0,5.9,0.0,0.0,0.0,14,2025-01-13,0,False,3.1166666666666667,80.0,0.0,True,False,0.34502923976608185
1,2025-01-13 14:12:33,2025-01-13 14:16:57,1.0,17.1,1.0,N,145,145,3,5.1,0.0,0.5,0.0,0.0,1.0,6.6,0.0,0.0,0.0,14,2025-01-13,0,False,4.4,80.0,0.0,True,False,0.3859649122807017
1,2025-01-13 14:41:42,2025-01-13 14:42:57,1.0,17.1,1.0,N,145,145,2,3.7,0.0,0.5,0.0,0.0,1.0,5.2,0.0,0.0,0.0,14,2025-01-13,0,False,1.25,80.0,0.0,True,False,0.30409356725146197
1,2025-01-13 14:22:33,2025-01-13 14:36:29,1.0,38.5,99.0,N,76,76,1,18.5,0.0,0.5,0.0,0.0,0.0,19.0,0.0,0.0,0.0,14,2025-01-13,0,False,13.933333333333334,80.0,0.0,True,False,0.4935064935064935
1,2025-01-13 15:30:10,2025-01-13 15:33:25,1.0,17.1,1.0,N,145,145,2,5.1,0.0,0.5,0.0,0.0,1.0,6.6,0.0,0.0,0.0,15,2025-01-13,0,False,3.25,80.0,0.0,True,False,0.3859649122807017
1,2025-01-13 19:23:35,2025-01-13 19:25:14,1.0,4.1,1.0,N,260,83,1,3.7,2.5,0.5,3.0,0.0,1.0,10.7,0.0,0.0,0.0,19,2025-01-13,0,False,1.65,80.0,28.037383177570096,False,True,2.6097560975609757
1,2025-01-14 14:36:21,2025-01-14 14:38:23,1.0,3.7,1.0,N,186,186,2,3.0,3.25,0.5,0.0,0.0,1.0,7.75,2.5,0.0,0.75,14,2025-01-14,1,False,2.033333333333333,80.0,0.0,False,False,2.0945945945945943
1,2025-01-15 11:29:00,2025-01-15 11:30:34,1.0,3.2,1.0,N,161,161,1,18.4,6.5,0.5,5.3,0.0,1.0,31.7,2.5,0.0,0.75,11,2025-01-15,2,False,1.5666666666666667,80.0,16.7192429022082,False,False,9.90625
2,2025-01-15 17:05:52,2025-01-15 17:12:47,1.0,19.15,1.0,N,161,162,1,7.9,7.5,0.5,0.0,0.0,1.0,20.15,2.5,0.0,0.75,17,2025-01-15,2,False,6.916666666666667,80.0,0.0,True,False,1.052219321148825
2,2025-01-16 09:50:23,2025-01-16 09:57:27,1.0,19.6,1.0,N,132,219,2,17.0,0.0,0.5,0.0,0.0,1.0,22.75,2.5,1.75,0.0,9,2025-01-16,3,False,7.066666666666666,80.0,0.0,True,False,1.1607142857142856
1,2025-01-16 09:28:31,2025-01-16 09:32:32,1.0,15.0,99.0,N,14,14,1,15.5,0.0,0.5,0.0,0.0,0.0,16.0,0.0,0.0,0.0,9,2025-01-16,3,False,4.016666666666667,80.0,0.0,True,False,1.0666666666666667
1,2025-01-17 10:37:50,2025-01-17 10:56:36,1.0,33.6,99.0,N,42,200,1,29.5,0.0,0.5,0.0,3.18,0.0,33.18,0.0,0.0,0.0,10,2025-01-17,4,False,18.766666666666666,80.0,0.0,True,False,0.9874999999999999
1,2025-01-17 22:52:01,2025-01-17 22:53:05,1.0,2.0,5.0,N,186,186,3,70.0,0.75,0.0,0.0,0.0,1.0,71.75,0.0,0.0,0.75,22,2025-01-17,4,False,1.0666666666666667,80.0,0.0,False,False,35.875
1,2025-01-20 18:29:03,2025-01-20 18:30:54,1.0,4.4,1.0,N,87,87,2,3.0,3.25,0.5,0.0,0.0,1.0,7.75,2.5,0.0,0.75,18,2025-01-20,0,False,1.85,80.0,0.0,False,False,1.7613636363636362
2,2025-01-20 23:20:00,2025-01-20 23:37:43,1.0,35.74,1.0,N,230,262,1,20.5,1.0,0.5,6.38,0.0,1.0,32.63,2.5,0.0,0.75,23,2025-01-20,0,False,17.716666666666665,80.0,19.55255899479007,True,False,0.912982652490207
2,2025-01-21 15:03:36,2025-01-21 15:08:29,1.0,17.8,1.0,N,239,238,1,7.2,0.0,0.5,1.0,0.0,1.0,12.2,2.5,0.0,0.0,15,2025-01-21,1,False,4.883333333333334,80.0,8.196721311475411,True,False,0.6853932584269662
2,2025-01-21 15:04:27,2025-01-21 15:07:20,1.0,14.67,1.0,N,132,66,1,69.5,0.0,0.5,10.0,0.0,1.0,85.25,2.5,1.75,0.0,15,2025-01-21,1,False,2.8833333333333333,80.0,11.730205278592376,True,False,5.811179277436946
1,2025-01-21 20:17:09,2025-01-21 20:19:54,1.0,12.6,1.0,N,181,181,2,54.1,4.25,0.5,0.0,0.0,1.0,59.85,0.0,1.75,0.0,20,2025-01-21,1,False,2.75,80.0,0.0,True,False,4.75
1,2025-01-22 11:51:49,2025-01-22 11:56:21,1.0,9.1,1.0,N,230,230,3,5.8,0.0,0.5,0.0,0.0,1.0,7.3,0.0,0.0,0.0,11,2025-01-22,2,False,4.533333333333333,80.0,0.0,False,False,0.8021978021978022
1,2025-01-22 23:07:08,2025-01-22 23:08:39,2.0,12.5,1.0,N,142,142,3,3.7,3.5,0.5,0.0,0.0,1.0,8.7,2.5,0.0,0.0,23,2025-01-22,2,False,1.5166666666666666,80.0,0.0,True,False,0.696
1,2025-01-24 09:23:42,2025-01-24 09:32:53,1.0,21.3,99.0,N,39,39,1,17.5,0.0,0.5,0.0,0.0,0.0,18.0,0.0,0.0,0.0,9,2025-01-24,4,False,9.183333333333334,80.0,0.0,True,False,0.8450704225352113
2,2025-01-24 11:05:09,2025-01-24 11:25:55,1.0,41.87,1.0,N,265,107,1,35.2,0.0,0.5,10.78,13.94,1.0,64.67,2.5,0.0,0.75,11,2025-01-24,4,False,20.766666666666666,80.0,16.669243853409615,True,False,1.5445426319560547
1,2025-01-24 14:05:52,2025-01-24 14:19:25,1.0,24.2,99.0,N,140,75,1,20.5,0.0,0.5,0.0,0.0,0.0,21.0,0.0,0.0,0.0,14,2025-01-24,4,False,13.55,80.0,0.0,True,False,0.8677685950413223
1,2025-01-24 16:15:16,2025-01-24 16:16:27,4.0,17.4,5.0,N,132,132,1,90.0,1.75,0.0,1.0,0.0,1.0,93.75,0.0,1.75,0.0,16,2025-01-24,4,False,1.1833333333333333,80.0,1.0666666666666667,True,False,5.387931034482759
1,2025-01-25 13:23:19,2025-01-25 13:27:56,1.0,8.9,99.0,N,140,220,1,36.5,0.0,0.5,0.0,0.0,0.0,37.0,0.0,0.0,0.0,13,2025-01-25,5,True,4.616666666666666,80.0,0.0,False,False,4.157303370786517
1,2025-01-26 16:32:29,2025-01-26 16:33:58,1.0,5.4,99.0,N,230,69,1,35.5,0.0,0.5,0.0,0.0,0.0,36.0,0.0,0.0,0.0,16,2025-01-26,6,True,1.4833333333333334,80.0,0.0,False,False,6.666666666666666
2,2025-01-27 18:08:24,2025-01-27 18:11:29,1.0,19.59,1.0,N,132,256,1,82.1,2.5,0.5,17.57,0.0,1.0,105.42,0.0,1.75,0.0,18,2025-01-27,0,False,3.0833333333333335,80.0,16.666666666666664,True,False,5.3813169984686064
