pickup_hour,total_revenue,avg_revenue,num_trips,avg_distance,avg_tip_pct
0,88.38,44.19,2,15.24,8.108108108108109
1,63.92,21.30666666666667,3,18.05666666666667,0.0
2,37.2,37.2,1,6.1,16.666666666666664
3,6.3,6.3,1,6.86,0.0
4,23.63,11.815,2,15.09,0.0
5,23.810000000000002,11.905000000000001,2,22.725,0.0
6,171.41,19.045555555555556,9,25.42222222222222,0.0
7,137.19,15.243333333333332,9,25.166666666666668,0.0
8,29.4,14.7,2,22.799999999999997,0.0
9,126.17999999999999,15.772499999999999,8,19.1375,1.1409531502423262
10,132.19,26.438,5,30.55,3.3333333333333335
11,139.13,27.826,5,21.494,6.677697351123564
12,149.05,29.810000000000002,5,12.302000000000001,1.3986013986013988
13,110.47,18.411666666666665,6,20.916666666666668,0.0
14,125.72,11.42909090909091,11,18.844545454545454,1.1875150445318141
15,142.82999999999998,28.565999999999995,5,25.674,3.985385318013557
16,147.28,36.82,4,16.299999999999997,0.26666666666666666
17,116.03999999999999,19.34,6,35.625,0.0
18,353.01,35.301,10,19.968,6.198496883980754
19,10.7,10.7,1,4.1,28.037383177570096
20,88.84,29.613333333333333,3,13.466666666666669,5.555555555555556
21,18.65,18.65,1,20.41,8.042895442359251
22,143.19,28.637999999999998,5,10.14,3.979416809605489
23,297.63,59.525999999999996,5,15.863999999999999,9.993845132291346
